
央视频道,#genre#
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227262/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227163/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226706/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226582/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226459/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226446/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226636/1.m3u8
CCTV1,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226623/1.m3u8

CCTV2,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227165/1.m3u8
CCTV2,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226466/1.m3u8
CCTV2,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226569/1.m3u8
CCTV2,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226306/1.m3u8

CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV3,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226308/1.m3u8
CCTV3,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226461/1.m3u8
CCTV3,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226614/1.m3u8

CCTV4,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227167/1.m3u8
CCTV4,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226468/1.m3u8
CCTV4,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226303/1.m3u8
CCTV4,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226656/1.m3u8

CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226635/1.m3u8
CCTV5,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226487/1.m3u8
CCTV5,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226305/1.m3u8

CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV5+,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226477/1.m3u8
CCTV5+,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226609/1.m3u8

CCTV6,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227237/1.m3u8
CCTV6,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226485/1.m3u8
CCTV6,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226637/1.m3u8

CCTV7,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227180/1.m3u8
CCTV7,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226486/1.m3u8
CCTV7,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226678/1.m3u8

CCTV8,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227264/1.m3u8
CCTV8,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226484/1.m3u8
CCTV8,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226687/1.m3u8

CCTV9,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227182/1.m3u8
CCTV9,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226482/1.m3u8
CCTV9,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226726/1.m3u8

CCTV10,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227169/1.m3u8
CCTV10,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226483/1.m3u8
CCTV10,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226528/1.m3u8

CCTV11,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227171/1.m3u8
CCTV11,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226481/1.m3u8
CCTV11,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226546/1.m3u8
CCTV11,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226560/1.m3u8

CCTV12,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227184/1.m3u8
CCTV12,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226479/1.m3u8

CCTV13,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227266/1.m3u8
CCTV13,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227186/1.m3u8
CCTV13,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226480/1.m3u8
